,Nombre,Compositor,Artista/Banda,URL,Año,Letra
27,Ruega por nosotros,Alberto Cervantes & Rubén Fuentes,"Miguel Aceves Mejia
Pedro Infante
Lucho Gatica",https://www.letras.com/miguel-aceves-mejia/1216047/,1954,"Señor, eterno Diosante tu altar hoy vengo suplicantea rogar por el alma de mi amadaque la muerte tan cruel me arrebatara.Yo sé que tu poder es infinitoque eres igual con pobres y con ricosy es por eso que en ti busco el consuelopara este corazón que está marchito.Si estoy dormido la sueñosi estoy despierto la miroy por donde quiera que andosu recuerdo va conmigo.Llorando paso las nochespaso las noches llorandopara mí el sol no brillaentre sombras voy vagando.Señor, eterno Diosante tu altar estoy aquí de hinojosella se fue y yo quiero morirmeperdonanos Señor y ruega por nosotros."
28,Cien años,Alberto Cervantes & Rubén Fuentes,"Pedro Infante
Hermanos Martinez",https://www.letras.com/pedro-infante/421497/,1954,"Pasaste a mi ladoCon gran indiferenciaTus ojos ni siquieraVoltearon hacia míTe vi sin que me vierasTe hablé sin que me oyerasY toda mi amarguraSe ahogó dentro de míMe duele hasta la vidaSaber que me olvidastePensar que ni despreciosMerezca, yo, de tiY, sin embargo, siguesUnida a mi existenciaY si vivo cien añosCien años, pienso en tiPasaste a mi ladoCon gran indiferenciaTus ojos ni siquieraVoltearon hacia míTe vi sin que me vierasTe hablé sin que me oyerasY toda mi amarguraSe ahogó dentro de míMe duele hasta la vidaSaber que me olvidastePensar que ni despreciosMerezca, yo, de tiY, sin embargo, siguesUnida a mi existenciaY si vivo cien añosCien años, pienso en ti"
29,Contigo en la distancia,César Portillo de la Luz,"Lucho Gatica
Pedro Infante
",https://www.letras.com/luis-miguel/26129/,1954,"No existe un momento del díaEn que pueda apartarme de tiEl mundo parece distintoCuando no estás junto a míNo hay bella melodíaEn que no surjas túNi yo quiero escucharlaSi no la escuchas túEs que te has convertidoEn parte de mi almaYa nada me consuelaSi no estás tú tambiénMás allá de tus labiosDel Sol y las estrellasContigo en la distanciaAmada mía, estoyEn parte de mi almaYa nada me consuelaSi no estás tú tambiénMás allá de tus labiosDel Sol y las estrellasContigo en la distanciaAmada mía, estoy"
30,Tres días,Tomás Méndez,Lola Beltrán,https://www.letras.com/lola-beltran/855256/,1954,"Tres días sin verte mujer,Tres días llorando tu amor,Tres días que miro el amanecer.Nomás tres días yo te améY en tu mirar me perdíY hace tres días que no sé de ti.¿dónde, dónde estás?¿con quién me engañas?,¿dónde. dónde estás?¿qué estás haciendo?Tres días que no séQue es alimento,Sólo tomandoMe he podido consolar.Ay, ay, ay, ay, ay,Ay, ay, ay, ay, ay,Ay, ay, ay, ay, ay,Tu amor me va a matar.Ay, ay, ay, ay, ay,Yo qué voy a hacerSi me niegas, alma mía,Tu querer."
31,Espinita,Nico Jiménez,"Ana María Gonzáles
Virginia López
Trío los Panchos",https://www.letras.com/trio-los-panchos/925001/,1954,Suave que me estás matandoque estás acabando com mi juventudyo quisiera haberte sido infiel y pagarte con una traicióneres como una espinitaque se me ha clavado en el corazónsuave que me estás sangrandoque me estás matando de pasiónYo que sufro por  mi gustoeste cruel martirioque me da tu amorno me importa lo que me hagassi en tus besos vive todo mi ilusióny que pase lo que paseeste pecho amante es no más de tiaunque yo quisiera no podré olvidarteporque siemprevas dentro de  mi
32,Mil besos,Ema Elena Valdelamar,María Victoria,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1955,"He encontrado en tu amor La fe perdida Ahora tiene mi vida una razón No sé si fue el embrujo de tus ojos Quien le dijo a tus labios Róbale el corazón verse Yo sé que los mil besos que te he dado en la boca Se me fue el corazón Y dicen que es pecado querer como te quiero Quizá tengan razón verse Pero, ¿qué ha de importarme Todo lo que me digan Si no te he de olvidar? Que si es pecado amarte Yo he de seguir pecando ¿Por qué lo he de ocultar?  Te he de seguir amando Te he seguir besando aunque me vuelva loca Hasta que me devuelvas El corazón que en besos Yo te dejé en la boca"
33,"Dime de quién es tu 
corazón",José de Jesús Morales,Los Cuatro Soles,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1955,Nunca más podré olvidarte Aunque estes lejos de mi Muchachita de ojos tristes Muchachita tu te fuistes Y jamás te volví a ver Nunca más podré olvidarte Aunque te olvides de mi Mi gorrión mi paz mi lecho Tu recuerdo esta en mi pecho Y te quiero mucho más Yo te quiero a pesar que tu no estas Y me muero en esta triste soledad Quien té esta queriendo Quien té esta besando Quien ocupa mi lugar.
34,Mi último fracaso,Alfredo Gil,Trío los Panchos,https://www.letras.com/pedro-infante/mi-ultimo-fracaso/,1955,Es mi destinoVivir asíTriste agoníaVivir sin tiMe sientoPerdido en este mundoY mi último fracasoSerá tu amorSéQue tú no quieres ya jamás volver a estar cerca de míQue no te importa mi manera de vivirNi te interesas más por míSéQue aunque yo muera tu jamás podrás saber lo que sentíEn mi agonía de vivir lejos de tiLlorando estoyTu serásMi último fracasóNo podréQuerer a nadie másYaTe perdoné porque lograste hacer feliz mi corazónY aunque no vuelvas a brindarme tu calorTuyo es mi amorTu serásMi último fracasoNo podréQuerer a nadie másYaTe perdone porque lograste hacer feliz mi corazónY aunque no vuelvas a brindarme tu calorTuyo es mi amor
35,Un mundo raro,José Alfredo Jiménez,"Pedro Infante
",https://www.letras.com/pedro-infante/un-mundo-raro/,1955,Cuando te hablen de amorY de ilusionesY te ofrezcan un solY un cielo enteroSi te acuerdas de miNo me mencionesPorque vas a sentirAmor del buenoY si quieren saberDe tu pasadoEs preciso decirUna mentiraDi que vienes de alláDe un mundo raroQue no sabes llorarQue no entiendes de amorY que nunca has amadoPorque yo adonde voyHablaré de tu amorComo un sueño doradoY olvidando el rencorNo diré que tu adiósMe volvió desgraciadoY si quieren saberDe mi pasadoEs preciso decirOtra mentiraLes diré que lleguéDe un mundo raroQue no sé del dolorQue triunfé en el amorY que nunca he lloradoPorque yo adonde voyHablaré de tu amorComo un sueño doradoY olvidando el rencorNo diré que tu adiósMe volvió desgraciadoY si quieren saberDe mi pasadoEs preciso decirOtra mentiraLes diré que lleguéDe un mundo raroQue no sé del dolorQue triunfé en el amorY que nunca he llorado
36,Rogaciano,Valeriano Trejo,Miguel Aceves Mejía,https://www.letras.com/miguel-aceves-mejia/1238969/,1955,"La huasteca esta de lutoSe murio su huapangueroya no se oye aquel falseteque es el alma del trovero.Rogaciano se llamabaRogaciano el huapangueroy era sones de la sierra las canciones del trovero.La Azucena y la Cecilialloran, lloran sin consuelomalaguena salerosaya se fue su pregonero.El canal esta en su puntohoy comienza la moliendael trapiche esta de dueloy suspira en cada vuelta.Por los verdes cafetalesmas alla de aquel potrerohay quein dice que de nochese aparece el huapanguero.La Azucena y la Cecilialloran, lloran sin consuelomalaguena salerosaya se fue su pregonero"
