Nombre,Compositor,Artista/Banda,URL,Año
La boa,Félix Reina & Carlos Lico,Sonora Santanera,https://www.letras.com/la-sonora-santanera/848062/,1960
"Ayúdame, Dios mío",Mario de Jesús,María Elena Sandoval,https://www.letras.com/javier-solis/942968/,1960
Bésame y olvídame,Beatriz Jiménez,Javier Solís,https://www.letras.com/javier-solis/1096623/,1960
Adiós,Alfredo Carrasco,Los Tecolines,https://www.letras.com/los-tecolines/adios/,1960
La plaga,John Marascalco & Robert Blackwell,Los Teen Tops,https://www.cancioneros.com/letras/cancion/2048250/la-plaga-los-teen-tops,1960
Saca la botella,Jorge Sareli,Sonora Santanera,https://www.cancioneros.com/letras/cancion/2130100/saca-la-botella-la-sonora-santanera,1960
Mi pueblo,aaaaaaaaaaaaaaaaaaa,César Costa,https://www.letras.com/cesar-costa/841681/,1961
Chica alborotada,,Los Locos del Ritmo,https://www.letras.com/los-locos-del-ritmo/discografia/chica-alborotada-1962/,1961
Creí,,Juan Mendoza,https://www.musixmatch.com/es/letras/Juan-Mendoza/Cre%C3%AD,1961
Suspenso infernal,,Los Dandys,https://www.musica.com/letras.asp?letra=1429546,1961
Más allá,,Los Tres Diamantes,https://www.musixmatch.com/es/letras/Los-Tres-Ases/M%C3%A1s-All%C3%A1,1961
"¡Ay, mexicanita!",,Julio Jaramillo,https://www.letras.com/julio-jaramillo/ay-mexicanita/,1961
Y...,,Javier Solís,https://www.letras.com/javier-solis/1132010/,1961
Escándalo,,Marco Antonio Muñiz,https://www.musica.com/letras.asp?letra=1451721,1961
Presumida,,Los Teen Tops,https://www.letras.com/los-teen-tops/1987459/,1961
Escándalo,,Marco Antonio Muñiz/Javier Solís/Juan Mendoza,https://www.musica.com/letras.asp?letra=1451721,1961
Agujetas de color de rosa,,Los Hooligans,https://www.letras.com/hooligans/agujetas-de-color-de-rosa-pink-shoe-laces/,1961
Escándalo,,Marco Antonio Muñiz/Javier Solís,https://www.musica.com/letras.asp?letra=1451721,1961
Agujetas de color de rosa,,Los Hooligans,https://www.letras.com/hooligans/agujetas-de-color-de-rosa-pink-shoe-laces/,1961
Escándalo,,Marco Antonio Muñiz/Javier Solís,https://www.musica.com/letras.asp?letra=1451721,1961
Agujetas de color de rosa,,Los Hooligans,https://www.letras.com/hooligans/agujetas-de-color-de-rosa-pink-shoe-laces/,1961
Popotitos,,Los Teen Tops,https://www.letras.com/los-teen-tops/1987463/,1961
Popotitos,,Los Teen Tops,https://www.letras.com/los-teen-tops/1987463/,1962
El loco,,Javier Solís,https://www.letras.com/javier-solis/1132024/,1962
El gran Tomás,,Mayté Gaos,https://www.musixmatch.com/es/letras/Mayte-Gaos/El-Gran-Tomas,1962
El gran Tomás,,Mayté Gaos,https://www.musixmatch.com/es/letras/Mayte-Gaos/El-Gran-Tomas,1962
Triángulo,,Los Tres Reyes,https://www.letras.com/los-tres-reyes/1620483/,1962
El gran Tomás,,Mayté Gaos,https://www.musixmatch.com/es/letras/Mayte-Gaos/El-Gran-Tomas,1962
Triángulo,,Los Tres Reyes,https://www.letras.com/los-tres-reyes/1620483/,1962
"Ven, que te quiero",,Los Impala,https://www.albumcancionyletra.com/ven-que-te-quiero_de_los-impala___261466.aspx,1962
El nido,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-nido/,1962
Que se mueran de envidia,,Javier Solís,https://www.letras.com/javier-solis/943880/,1962
El nido,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-nido/,1962
Que se mueran de envidia,,Javier Solís,https://www.letras.com/javier-solis/943880/,1962
Muchacha bonita,,"Miguel Aceves Mejía & Marco Antonio Muñiz
/ José Alfredo Jiménez",https://www.letras.com/miguel-aceves-mejia/1387739/,1962
El nido,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-nido/,1962
Muchacha bonita,,"Miguel Aceves Mejía & Marco Antonio Muñiz, José Alfredo Jiménez",https://www.letras.com/miguel-aceves-mejia/1387739/,1962
El ladrón,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-ladron/,1962
El ladrón,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-ladron/,1963
Al di là,,Emilio Pericoli,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1963
Llegó borracho el borracho,,José Alfredo Jiménez,https://www.letras.com/jimenez-jose-alfredo/llego-borracho-el-borracho/,1963
De mil maneras,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/de-mil-maneras/,1963
Enemigos,,Sonia López,https://www.musixmatch.com/es/letras/Sonia-L%C3%B3pez/Enemigos,1963
Let's Get Together,,Hayley Mills,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1963
Despeinada,,Los Hooligans / Manolo Muñoz,https://www.musica.com/letras.asp?letra=1391212,1963
Entrega total,,Javier Solís,https://www.letras.com/javier-solis/837313/,1963
Magia blanca,,Los Hermanos Carrión,https://www.letras.com/hermanos-carrion/magia-blanca/,1963
El lechero,,Las Guerrilleras de la Frontera / Los Hermanos Záizar,https://www.musixmatch.com/es/letras/Hermanos-Zaizar/El-Lechero,1963
Parabá Papá,,Rocío Dúrcal,https://www.musica.com/letras.asp?letra=1226869,1964
Magia blanca,,Los Hermanos Carrión,https://www.letras.com/hermanos-carrion/magia-blanca/,1964
"If I Had a Hammer""",,Trini López,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1964
Dominique,,Las Hermanas Alegrìa/Los Dominic's/Angélica María/Sor Sonrisa,https://www.letras.com/giane/223549/,1964
Entrega total,,Javier Solís,https://www.letras.com/javier-solis/837313/,1964
Las cerezas,,Los Hermanos Carrión,https://www.musica.com/letras.asp?letra=1445831,1964
Entrega total,,Javier Solís,https://www.letras.com/javier-solis/837313/,1964
Tijuana,,The Persuaders,https://www.letras.com/the-growlers/tijuana/,1964
"¡Cómo te extraño, mi amor!",,Leo Dan,https://www.letras.com/leo-dan/1131860/,1964
La pollera colorá,,Carmen Rivero y su Conjunto,https://www.letras.com/margarita/la-pollera-colora/,1964
La pollera colorá,,Carmen Rivero y su Conjunto,https://www.letras.com/margarita/la-pollera-colora/,1965
La pollera colorá,,Carmen Rivero y su Conjunto,https://www.letras.com/margarita/la-pollera-colora/,1965
Cuando calienta el sol,,Trini López,https://www.letras.com/luis-miguel/109120/,1965
El mudo,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-mudo/,1965
Sombras,,Javier Solís,https://www.letras.com/javier-solis/943882/,1965
Payaso,,Javier Solís,https://www.letras.com/javier-solis/944008/,1965
"Qué va!""/""(Se te olvida) La mentira",,Javier Solís,https://www.letras.com/luis-miguel/97793/,1965
Es Lupe,,Los Johnny Jets,https://www.musixmatch.com/es/letras/Los-Johnny-Jets/Es-Lupe,1965
Es Lupe,,Los Johnny Jets,https://www.musixmatch.com/es/letras/Los-Johnny-Jets/Es-Lupe,1966
Por las calles de México,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/por-las-calles-de-mexico/,1966
Es Lupe,,Los Johnny Jets,https://www.musixmatch.com/es/letras/Los-Johnny-Jets/Es-Lupe,1966
Mazatlán,,Mike Laure,https://www.musica.com/letras.asp?letra=1629150,1966
Es Lupe,,Los Johnny Jets,https://www.musixmatch.com/es/letras/Los-Johnny-Jets/Es-Lupe,1966
La banda borracha,,Mike Laure,https://www.letras.com/valentin-elizalde/499814/,1966
La banda borracha,,Mike Laure,https://www.letras.com/valentin-elizalde/499814/,1966
Una limosna,,Javier Solís,https://www.letras.com/javier-solis/1132022/,1966
Amigo organillero,,Javier Solís,https://www.letras.com/javier-solis/1096621/,1966
El despertar,,Marco Antonio Muñiz,https://www.musica.com/letras.asp?letra=1623043,1966
Mi razón,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/848064/,1966
La banda borracha,,Mike Laure,https://www.letras.com/valentin-elizalde/499814/,1966
Mi razón,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/848064/,1966
Brasilia,,Tony Mottola,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1966
Fuiste a Acapulco,,Los Apson,https://www.letras.com/los-apson/fuiste-a-acapulco/,1966
Brasilia,,Tony Mottola,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1966
El botones,,Sonora Santanera,https://www.letras.com/la-sonora-santanera/el-botones/,1966
Fuiste a Acapulco,,Los Apson,https://www.letras.com/los-apson/fuiste-a-acapulco/,1966
Brasilia,,Tony Mottola	,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1967
El último beso,,Polo,https://www.letras.com/polo-urias/703783/,1967
Fuiste a Acapulco,,Los Apson,https://www.letras.com/los-apson/fuiste-a-acapulco/,1967
Batijugando,,Sonia López,https://www.musixmatch.com/es/letras/Sonia-L%C3%B3pez/Batijugando,1967
El cable,,Mario y sus Diamantes,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1967
Celoso,,Los Panchos / Marco Antonio Muñiz,https://www.letras.com/jose-luis-rodriguez/748335/,1967
Yo soy aquél,,Raphael	,https://www.letras.com/raphael/1711791/,1967
Esta tarde vi llover,,Armando Manzanero,https://www.letras.com/armando-manzanero/689902/,1967
Musita,,Sonora Santanera	,https://www.musixmatch.com/es/letras/Sonora-Santanera-feat-Ballet-Sonora-Santanera/Musita-D%C3%B3nde-Est%C3%A1s-Yolanda-En-Vivo,1967
Quinceañera,,Los Vlamers de Marco Rayo,https://www.musica.com/letras.asp?letra=1384736,1967
Musita,,Sonora Santanera	,https://www.musixmatch.com/es/letras/Sonora-Santanera-feat-Ballet-Sonora-Santanera/Musita-D%C3%B3nde-Est%C3%A1s-Yolanda-En-Vivo,1967
Esta tarde vi llover,,Armando Manzanero	,https://www.letras.com/armando-manzanero/689902/,1967
Esta tarde vi llover,,Armando Manzanero	,https://www.letras.com/armando-manzanero/689902/,1968
"Yo, tú y las rosas",,Los Piccolinos	,https://www.musixmatch.com/es/letras/Los-Piccolinos/Yo-t%C3%BA-y-las-rosas,1968
"Norma, la de Guadalajara",,"Pérez Prado y su Orquesta
",https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1968
La balada del vagabundo,,Rosa Mary & José Guardiola,https://www.letras.com/andrea-lagunes/1657814/,1968
Hazme una señal,,Roberto Jordán	,https://www.letras.com/roberto-jordan/388227/,1968
